text,label
A waste of time.,negative
Disappointing and dull.,negative
Very poor quality.,negative
Poor direction and bad script.,negative
This film was terrible and boring.,negative
I regret watching this.,negative
This product exceeded my expectations.,positive
The acting was brilliant.,positive
Absolutely loved it.,positive
Completely unwatchable.,negative
One of the best things I've seen.,positive
An enjoyable and emotional journey.,positive
This film was terrible and boring.,negative
One of the best things I've seen.,positive
Worst experience ever.,negative
A must-watch for sure!,positive
Totally not worth watching.,negative
Disappointing and dull.,negative
One of the best things I've seen.,positive
Absolutely loved it.,positive
Disappointing and dull.,negative
I didn't like the acting.,negative
This product exceeded my expectations.,positive
Poor direction and bad script.,negative
Absolutely loved it.,positive
What a fantastic experience!,positive
Worst experience ever.,negative
This product exceeded my expectations.,positive
"I love this movie, it's amazing!",positive
Absolutely loved it.,positive
A waste of time.,negative
One of the best things I've seen.,positive
Totally not worth watching.,negative
I regret watching this.,negative
The plot was very interesting and well done.,positive
The plot was very interesting and well done.,positive
This product exceeded my expectations.,positive
A waste of time.,negative
This product exceeded my expectations.,positive
This product exceeded my expectations.,positive
The plot was very interesting and well done.,positive
The acting was brilliant.,positive
An enjoyable and emotional journey.,positive
A must-watch for sure!,positive
Highly recommend this to everyone.,positive
I didn't like the acting.,negative
Highly recommend this to everyone.,positive
Totally not worth watching.,negative
The plot was very interesting and well done.,positive
Totally not worth watching.,negative
A must-watch for sure!,positive
What a fantastic experience!,positive
This product exceeded my expectations.,positive
I regret watching this.,negative
What a fantastic experience!,positive
Highly recommend this to everyone.,positive
Very poor quality.,negative
This film was terrible and boring.,negative
This product exceeded my expectations.,positive
Poor direction and bad script.,negative
A must-watch for sure!,positive
Disappointing and dull.,negative
Poor direction and bad script.,negative
Highly recommend this to everyone.,positive
This product exceeded my expectations.,positive
I regret watching this.,negative
This film was terrible and boring.,negative
Highly recommend this to everyone.,positive
Disappointing and dull.,negative
Very poor quality.,negative
This film was terrible and boring.,negative
I didn't like the acting.,negative
I regret watching this.,negative
Very poor quality.,negative
A waste of time.,negative
Absolutely loved it.,positive
Worst experience ever.,negative
Highly recommend this to everyone.,positive
This product exceeded my expectations.,positive
I regret watching this.,negative
An enjoyable and emotional journey.,positive
Highly recommend this to everyone.,positive
An enjoyable and emotional journey.,positive
A waste of time.,negative
Disappointing and dull.,negative
Totally not worth watching.,negative
This product exceeded my expectations.,positive
Disappointing and dull.,negative
The acting was brilliant.,positive
What a fantastic experience!,positive
This film was terrible and boring.,negative
What a fantastic experience!,positive
Totally not worth watching.,negative
Disappointing and dull.,negative
Disappointing and dull.,negative
Worst experience ever.,negative
Highly recommend this to everyone.,positive
Poor direction and bad script.,negative
Totally not worth watching.,negative
What a fantastic experience!,positive
